V1,V2,Row,Column,Cell,Meta,Name,Rep,Drug,Conc,Time,Peptide.Name,Protein.Name
P2A07,0,A,7,A07,DC.M.48,DC.M.48.1,1,DC,M,48,Intensity.P2A07,LFQ.intensity.P2A07
P2A08,1,A,8,A08,DC.H.48,DC.H.48.1,1,DC,H,48,Intensity.P2A08,LFQ.intensity.P2A08
P2A09,2,A,9,A09,NZ.H.48,NZ.H.48.1,1,NZ,H,48,Intensity.P2A09,LFQ.intensity.P2A09
P2A10,3,A,10,A10,AZ.M.48,AZ.M.48.1,1,AZ,M,48,Intensity.P2A10,LFQ.intensity.P2A10
P2A11,4,A,11,A11,NZ.M.48,NZ.M.48.3,3,NZ,M,48,Intensity.P2A11,LFQ.intensity.P2A11
P2A12,5,A,12,A12,AZ.L.48,AZ.L.48.1,1,AZ,L,48,Intensity.P2A12,LFQ.intensity.P2A12
P2B07,6,B,7,B07,AZ.M.48,AZ.M.48.2,2,AZ,M,48,Intensity.P2B07,LFQ.intensity.P2B07
P2B08,7,B ,8,B08,PR.L.48,PR.L.48.1,1,PR,L,48,Intensity.P2B08,LFQ.intensity.P2B08
P2B09,8,B,9,B09,NZ.H.48,NZ.H.48.2,2,NZ,H,48,Intensity.P2B09,LFQ.intensity.P2B09
P2B10,9,B ,10,B10,CP.L.48,CP.L.48.1,1,CP,L,48,Intensity.P2B10,LFQ.intensity.P2B10
P2B11,10,B,11,B11,NZ.L.48,NZ.L.48.3,3,NZ,L,48,Intensity.P2B11,LFQ.intensity.P2B11
P2B12,11,B ,12,B12,CP.H.48,CP.H.48.3,3,CP,H,48,Intensity.P2B12,LFQ.intensity.P2B12
P2C07,12,C,7,C07,NZ.H.48,NZ.H.48.3,3,NZ,H,48,Intensity.P2C07,LFQ.intensity.P2C07
P2C08,13,C,8,C08,DC.M.48,DC.M.48.2,2,DC,M,48,Intensity.P2C08,LFQ.intensity.P2C08
P2C09,14,C,9,C09,NC.1D.48,NC.1D.48.1,1,NC,1D,48,Intensity.P2C09,LFQ.intensity.P2C09
P2C10,15,C,10,C10,DC.H.48,DC.H.48.2,2,DC,H,48,Intensity.P2C10,LFQ.intensity.P2C10
P2C11,16,C,11,C11,PR.L.48,PR.L.48.3,3,PR,L,48,Intensity.P2C11,LFQ.intensity.P2C11
P2C12,17,C,12,C12,PR.M.48,PR.M.48.1,1,PR,M,48,Intensity.P2C12,LFQ.intensity.P2C12
P2D07,18,D,7,D07,DC.L.48,DC.L.48.1,1,DC,L,48,Intensity.P2D07,LFQ.intensity.P2D07
P2D08,19,D,8,D08,PR.M.48,PR.M.48.2,2,PR,M,48,Intensity.P2D08,LFQ.intensity.P2D08
P2D09,20,D,9,D09,PR.H.48,PR.H.48.1,1,PR,H,48,Intensity.P2D09,LFQ.intensity.P2D09
P2D10,21,D,10,D10,CP.M.48,CP.M.48.1,1,CP,M,48,Intensity.P2D10,LFQ.intensity.P2D10
P2D11,22,D,11,D11,NC.1D.48,NC.1D.48.2,2,NC,1D,48,Intensity.P2D11,LFQ.intensity.P2D11
P2D12,23,D,12,D12,CP.M.48,CP.M.48.2,2,CP,M,48,Intensity.P2D12,LFQ.intensity.P2D12
P2E07,24,E,7,E07,AZ.L.48,AZ.L.48.2,2,AZ,L,48,Intensity.P2E07,LFQ.intensity.P2E07
P2E08,25,E,8,E08,AZ.H.48,AZ.H.48.1,1,AZ,H,48,Intensity.P2E08,LFQ.intensity.P2E08
P2E09,26,E,9,E09,CP.L.48,CP.L.48.2,2,CP,L,48,Intensity.P2E09,LFQ.intensity.P2E09
P2E10,27,E,10,E10,PR.L.48,PR.L.48.2,2,PR,L,48,Intensity.P2E10,LFQ.intensity.P2E10
P2E11,28,E,11,E11,PR.M.48,PR.M.48.3,3,PR,M,48,Intensity.P2E11,LFQ.intensity.P2E11
P2E12,29,E,12,E12,NZ.M.48,NZ.M.48.2,2,NZ,M,48,Intensity.P2E12,LFQ.intensity.P2E12
P2F07,30,F,7,F07,NZ.L.48,NZ.L.48.1,1,NZ,L,48,Intensity.P2F07,LFQ.intensity.P2F07
P2F08,31,F,8,F08,DC.L.48,DC.L.48.2,2,DC,L,48,Intensity.P2F08,LFQ.intensity.P2F08
P2F09,32,F,9,F09,AZ.L.48,AZ.L.48.3,3,AZ,L,48,Intensity.P2F09,LFQ.intensity.P2F09
P2F10,33,F,10,F10,AZ.H.48,AZ.H.48.2,2,AZ,H,48,Intensity.P2F10,LFQ.intensity.P2F10
P2F11,34,F,11,F11,NZ.M.48,NZ.M.48.1,1,NZ,M,48,Intensity.P2F11,LFQ.intensity.P2F11
P2F12,35,F,12,F12,NZ.L.48,NZ.L.48.2,2,NZ,L,48,Intensity.P2F12,LFQ.intensity.P2F12
P2G07,36,G,7,G07,DC.L.48,DC.L.48.3,3,DC,L,48,Intensity.P2G07,LFQ.intensity.P2G07
P2G08,37,G,8,G08,CP.L.48,CP.L.48.3,3,CP,L,48,Intensity.P2G08,LFQ.intensity.P2G08
P2G09,38,G,9,G09,DC.H.48,DC.H.48.3,3,DC,H,48,Intensity.P2G09,LFQ.intensity.P2G09
P2G10,39,G,10,G10,PR.H.48,PR.H.48.2,2,PR,H,48,Intensity.P2G10,LFQ.intensity.P2G10
P2G11,40,G,11,G11,CP.H.48,CP.H.48.2,2,CP,H,48,Intensity.P2G11,LFQ.intensity.P2G11
P2G12,41,G,12,G12,CP.M.48,CP.M.48.3,3,CP,M,48,Intensity.P2G12,LFQ.intensity.P2G12
P2H07,42,H,7,H07,PR.H.48,PR.H.48.3,3,PR,H,48,Intensity.P2H07,LFQ.intensity.P2H07
P2H08,43,H,8,H08,DC.M.48,DC.M.48.3,3,DC,M,48,Intensity.P2H08,LFQ.intensity.P2H08
P2H09,44,H,9,H09,AZ.H.48,AZ.H.48.3,3,AZ,H,48,Intensity.P2H09,LFQ.intensity.P2H09
P2H10,45,H,10,H10,NC.1D.48,NC.1D.48.3,3,NC,1D,48,Intensity.P2H10,LFQ.intensity.P2H10
P2H11,46,H,11,H11,CP.H.48,CP.H.48.1,1,CP,H,48,Intensity.P2H11,LFQ.intensity.P2H11
P2H12,47,H,12,H12,AZ.M.48,AZ.M.48.3,3,AZ,M,48,Intensity.P2H12,LFQ.intensity.P2H12
